,userId,title,rating
0,1,2001: A Space Odyssey (1968),3.5
1,1,28 Days Later (2002),3.5
2,1,"7th Voyage of Sinbad, The (1958)",4.0
3,1,"Adventures of Baron Munchausen, The (1988)",4.0
4,1,Alien (1979),4.0
5,1,Aliens (1986),4.0
6,1,"American Werewolf in London, An (1981)",4.0
7,1,Apocalypse Now (1979),3.5
8,1,Army of Darkness (1993),4.0
9,1,Austin Powers: The Spy Who Shagged Me (1999),3.5
10,1,"Beastmaster, The (1982)",3.0
11,1,Beetlejuice (1988),4.0
12,1,Bill & Ted's Bogus Journey (1991),3.5
13,1,Bill & Ted's Excellent Adventure (1989),4.0
14,1,"Birds, The (1963)",4.0
15,1,Blade Runner (1982),4.0
16,1,"Borrowers, The (1997)",3.5
17,1,"Brotherhood of the Wolf (Pacte des loups, Le) (2001)",4.0
18,1,Bubba Ho-tep (2002),3.5
19,1,Butch Cassidy and the Sundance Kid (1969),3.0
20,1,Chitty Chitty Bang Bang (1968),3.5
21,1,"Christmas Story, A (1983)",3.5
22,1,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",3.5
23,1,Clash of the Titans (1981),4.0
24,1,Clerks (1994),4.0
25,1,"Company of Wolves, The (1984)",4.0
26,1,Conan the Destroyer (1984),3.0
27,1,Constantine (2005),4.0
28,1,Contact (1997),3.5
29,1,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",4.0
30,1,"Dark Crystal, The (1982)",4.0
31,1,Dawn of the Dead (1978),3.5
32,1,Dead Poets Society (1989),3.5
33,1,"Dead Zone, The (1983)",4.0
34,1,Die Hard (1988),4.0
35,1,Die Hard 2 (1990),3.0
36,1,"Dirty Dozen, The (1967)",4.0
37,1,Donnie Darko (2001),3.5
38,1,Dracula (1931),3.5
39,1,Dragonheart (1996),3.0
40,1,Dragonslayer (1981),4.0
41,1,Dune (1984),4.0
42,1,Dungeons & Dragons (2000),3.5
43,1,E.T. the Extra-Terrestrial (1982),4.0
44,1,Edward Scissorhands (1990),4.0
45,1,Enter the Dragon (1973),3.0
46,1,Escape to Witch Mountain (1975),3.5
47,1,Evil Dead II (Dead by Dawn) (1987),3.5
48,1,"Evil Dead, The (1981)",3.5
49,1,Excalibur (1981),4.0
50,1,"Exorcist, The (1973)",3.5
51,1,"Femme Nikita, La (Nikita) (1990)",4.0
52,1,Ferris Bueller's Day Off (1986),3.5
53,1,Fight Club (1999),4.0
54,1,Final Fantasy: The Spirits Within (2001),3.5
55,1,"Fish Called Wanda, A (1988)",4.0
56,1,Flash Gordon (1980),3.5
57,1,Frankenstein (1931),3.5
58,1,Freaks (1932),5.0
59,1,Full Metal Jacket (1987),3.5
60,1,Ghostbusters (a.k.a. Ghost Busters) (1984),3.5
61,1,Godsend (2004),3.5
62,1,Goldfinger (1964),3.5
63,1,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",3.0
64,1,"Great Escape, The (1963)",3.5
65,1,Hard-Boiled (Lat sau san taam) (1992),3.5
66,1,Harry Potter and the Chamber of Secrets (2002),4.0
67,1,Harry Potter and the Prisoner of Azkaban (2004),4.0
68,1,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),4.0
69,1,Heavy Metal 2000 (2000),3.5
70,1,Highlander: Endgame (Highlander IV) (2000),4.0
71,1,Hook (1991),4.0
72,1,"Incredibles, The (2004)",4.0
73,1,Indiana Jones and the Last Crusade (1989),3.5
74,1,Interview with the Vampire: The Vampire Chronicles (1994),4.0
75,1,Invasion of the Body Snatchers (1956),3.5
76,1,Invasion of the Body Snatchers (1978),3.5
77,1,"Invisible Man, The (1933)",3.0
78,1,"Iron Giant, The (1999)",3.0
79,1,Jabberwocky (1977),4.0
80,1,Jacob's Ladder (1990),3.5
81,1,Jason and the Argonauts (1963),4.0
82,1,Jaws (1975),4.0
83,1,Jumanji (1995),3.5
84,1,Kill Bill: Vol. 2 (2004),4.0
85,1,Labyrinth (1986),4.0
86,1,Ladyhawke (1985),4.0
87,1,"Last Unicorn, The (1982)",4.0
88,1,Legend (1985),4.0
89,1,Little Big Man (1970),3.5
90,1,"Lock, Stock & Two Smoking Barrels (1998)",4.0
91,1,"Lord of the Rings: The Fellowship of the Ring, The (2001)",5.0
92,1,"Lord of the Rings: The Return of the King, The (2003)",5.0
93,1,"Lord of the Rings: The Two Towers, The (2002)",5.0
94,1,"Lost Boys, The (1987)",4.0
95,1,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.0
96,1,"Mask, The (1994)",3.5
97,1,Masters of the Universe (1987),3.0
98,1,Memento (2000),3.5
99,1,Misery (1990),4.0
100,1,Monty Python and the Holy Grail (1975),3.5
101,1,Monty Python's Life of Brian (1979),3.5
102,1,Monty Python's The Meaning of Life (1983),3.5
103,1,"Navigator: A Mediaeval Odyssey, The (1988)",4.0
104,1,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",3.5
105,1,"O Brother, Where Art Thou? (2000)",4.0
106,1,"Omen, The (1976)",3.5
107,1,One Flew Over the Cuckoo's Nest (1975),3.5
108,1,One Million Years B.C. (1966),4.0
109,1,"Others, The (2001)",3.5
110,1,Peter Pan (2003),3.5
111,1,"Picture of Dorian Gray, The (1945)",3.5
